FIPS Code,County,Obesity Population,Obesity Percent,Income
26001,Alcona,2792,31.1,37189
26003,Alger,2340,29.8,37586
26005,Allegan,24666,30.2,52061
26007,Alpena,7300,32.1,38016
26009,Antrim,5889,32.2,45362
26011,Arenac,4165,34,38874
26013,Baraga,2220,32.5,41189
26015,Barry,13715,31.2,52186
26017,Bay,29049,35.4,45376
26019,Benzie,3942,28.7,47366
26021,Berrien,40551,34.8,43633
26023,Branch,10223,31.8,41856
26025,Calhoun,33731,33.9,42110
26027,Cass,13858,35.3,44346
26029,Charlevoix,5773,28.6,45949
26031,Cheboygan,6775,33.2,38410
26033,Chippewa,10401,34.6,41637
26035,Clare,8059,33.8,32668
26037,Clinton,18058,31.6,60466
26039,Crawford,3353,30.4,40295
26041,Delta,9160,32.1,42676
26043,Dickinson,6076,30.1,44136
26045,Eaton,29070,35.7,54115
26047,Emmet,7535,29.8,50929
26049,Genesee,101061,33,42089
26051,Gladwin,6958,34.7,37626
26053,Gogebic,4059,31.3,34252
26055,Grand Traverse,18489,26.8,51766
26057,Gratiot,10753,33.6,40359
26059,Hillsdale,10976,32,41759
26061,Houghton,8243,30.7,35430
26063,Huron,7939,31.5,40204
26065,Ingham,63425,30.4,45321
26067,Ionia,18007,38,47892
26069,Iosco,6845,33.2,36236
26071,Iron,2736,29.1,34685
26073,Isabella,16048,30.9,36372
26075,Jackson,40471,33.7,46615
26077,Kalamazoo,58382,30.6,45775
26079,Kalkaska,4146,31.6,40140
26081,Kent,128665,28.7,51667
26083,Keweenaw,548,30.9,39038
26085,Lake,2952,32,29379
26087,Lapeer,20060,30.3,52939
26089,Leelanau,4647,26.6,55018
26091,Lenawee,22835,30.8,47766
26093,Livingston,40253,29.6,72359
26095,Luce,1717,32.6,39469
26097,Mackinac,2785,31.1,38704
26099,Macomb,215203,33.3,53451
26101,Manistee,6765,34.6,41551
26103,Marquette,15305,29.2,45622
26105,Mason,6609,29.9,41136
26107,Mecosta,11253,35,39470
26109,Menominee,6392,34.4,41739
26111,Midland,19097,30.5,53076
26113,Missaukee,3612,32.2,41061
26115,Monroe,37966,33.8,53972
26117,Montcalm,15932,34,40451
26119,Montmorency,2247,28.9,35261
26121,Muskegon,45324,35.8,40979
26123,Newaygo,12099,34,42571
26125,Oakland,243882,26.3,65594
26127,Oceana,6720,34.8,40023
26129,Ogemaw,5946,35.6,34619
26131,Ontonagon,1762,33,34620
26133,Osceola,5879,34.2,37788
26135,Oscoda,2211,33.5,33239
26137,Otsego,6110,33.3,47584
26139,Ottawa,53163,27.6,56453
26141,Presque Isle,3442,32.3,39652
26143,Roscommon,6801,34.2,33334
26145,Saginaw,57155,38.9,42331
26151,Sanilac,9848,31.3,48066
26153,Schoolcraft,2041,31.3,44051
26155,Shiawassee,16663,32.4,40478
26147,St. Clair,39788,33,35260
26149,St. Joseph,15315,34.7,46217
26157,Tuscola,13427,32.6,43039
26159,Van Buren,18466,33.5,45129
26161,Washtenaw,64885,24.4,59055
26163,Wayne,434504,33.5,41184
26165,Wexford,7329,30.2,40965
